V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,CifrarAES,0.14,Concurrente,CifrarAES,0.1701,Concurrente,CifrarAES,0.1323,,,,,,
Concurrente,CifrarAES,0.1056,Concurrente,CifrarAES,0.1028,Concurrente,CifrarAES,0.3297,,,,,,
Concurrente,CifrarAES,0.0976,Concurrente,CifrarAES,0.1545,Concurrente,CifrarAES,0.1269,,,,,,
Concurrente,CifrarAES,0.1127,Concurrente,CifrarAES,0.1669,Concurrente,CifrarAES,0.096,,,,,,
Concurrente,CifrarAES,0.1407,Concurrente,CifrarAES,0.13,Concurrente,CifrarAES,0.0937,,,,,,
Concurrente,CifrarAES,0.0866,Concurrente,CifrarAES,0.1064,Concurrente,CifrarAES,0.1177,,,,,,
Concurrente,CifrarAES,0.1261,Concurrente,CifrarRSA,0.0937,Concurrente,CifrarAES,0.0938,,,,,,
Concurrente,CifrarAES,0.0971,Concurrente,CifrarAES,0.0968,Concurrente,CifrarAES,0.085,,,,,,
Concurrente,CifrarAES,0.1765,Concurrente,CifrarAES,0.0987,Concurrente,CifrarAES,0.137,,,,,,
Concurrente,CifrarAES,0.1818,Concurrente,CifrarAES,0.0944,Concurrente,CifrarAES,0.1232,,,,,,
Concurrente,CifrarAES,0.1567,Concurrente,Firmar,0.2918,Concurrente,CifrarRSA,0.0723,,,,,,
Concurrente,Firmar,0.3241,Concurrente,CifrarAES,0.1015,Concurrente,CifrarAES,0.1321,,,,,,
Concurrente,CifrarAES,0.1125,Concurrente,Firmar,0.3255,Concurrente,CifrarAES,0.0939,,,,,,
Concurrente,Firmar,0.3382,Concurrente,CifrarRSA,0.0698,Concurrente,CifrarAES,0.1588,,,,,,
Concurrente,CifrarAES,0.1027,Concurrente,CifrarAES,0.3173,Concurrente,CifrarAES,0.1278,,,,,,
Concurrente,Firmar,0.3175,Concurrente,CifrarRSA,0.074,Concurrente,CifrarAES,0.1353,,,,,,
Concurrente,CifrarRSA,0.0529,Concurrente,CifrarRSA,0.0617,Concurrente,CifrarAES,0.2599,,,,,,
Concurrente,CifrarAES,0.1514,Concurrente,CifrarRSA,0.17,Concurrente,CifrarRSA,0.0702,,,,,,
Concurrente,CifrarRSA,0.05,Concurrente,CifrarRSA,0.0542,Concurrente,Firmar,0.333,,,,,,
Concurrente,CifrarAES,0.1204,Concurrente,CifrarRSA,0.0547,Concurrente,CifrarAES,0.0962,,,,,,
Concurrente,CifrarRSA,0.0511,Concurrente,CifrarRSA,0.0557,Concurrente,CifrarAES,0.0862,,,,,,
Concurrente,CifrarRSA,0.0478,Concurrente,CifrarRSA,0.0733,Concurrente,CifrarRSA,0.0675,,,,,,
Concurrente,CifrarRSA,0.0495,Concurrente,CifrarRSA,0.0727,Concurrente,CifrarRSA,0.0519,,,,,,
